Zipcode,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages
38601,STANDARD,ABBEVILLE,MS,PRIMARY,34.5,-89.5,NA-US-MS-ABBEVILLE,false,987,1784,24069593
39730,STANDARD,ABERDEEN,MS,PRIMARY,33.82,-88.55,NA-US-MS-ABERDEEN,false,4926,8894,117793970
39735,STANDARD,ACKERMAN,MS,PRIMARY,33.31,-89.17,NA-US-MS-ACKERMAN,false,1590,2986,42860765
38820,PO BOX,ALGOMA,MS,PRIMARY,34.17,-89.03,NA-US-MS-ALGOMA,false,,,
38720,STANDARD,ALLIGATOR,MS,PRIMARY,34.08,-90.72,NA-US-MS-ALLIGATOR,false,,,
38821,STANDARD,AMORY,MS,PRIMARY,33.98,-88.48,NA-US-MS-AMORY,false,5057,9536,153437411
38721,STANDARD,ANGUILLA,MS,PRIMARY,32.97,-90.82,NA-US-MS-ANGUILLA,false,528,970,10968344
38722,PO BOX,ARCOLA,MS,PRIMARY,33.27,-90.88,NA-US-MS-ARCOLA,false,265,474,4295610
38602,PO BOX,ARKABUTLA,MS,PRIMARY,34.7,-90.13,NA-US-MS-ARKABUTLA,false,,,
39736,PO BOX,ARTESIA,MS,PRIMARY,33.41,-88.64,NA-US-MS-ARTESIA,false,,,
38603,STANDARD,ASHLAND,MS,PRIMARY,34.83,-89.17,NA-US-MS-ASHLAND,false,1212,2203,28995795
38723,PO BOX,AVON,MS,PRIMARY,33.2,-91.06,NA-US-MS-AVON,false,,,
39320,STANDARD,BAILEY,MS,PRIMARY,32.48,-88.69,NA-US-MS-BAILEY,false,781,1483,28656498
38824,STANDARD,BALDWYN,MS,PRIMARY,34.5,-88.63,NA-US-MS-BALDWYN,false,3347,6283,91075717
39421,STANDARD,BASSFIELD,MS,PRIMARY,31.49,-89.74,NA-US-MS-BASSFIELD,false,1399,2545,33695954
38606,STANDARD,BATESVILLE,MS,PRIMARY,34.31,-89.93,NA-US-MS-BATESVILLE,false,6791,12504,191992018
39520,STANDARD,BAY SAINT LOUIS,MS,PRIMARY,30.32,-89.51,NA-US-MS-BAY SAINT LOUIS,false,4756,8359,129239499
39521,PO BOX,BAY SAINT LOUIS,MS,PRIMARY,30.32,-89.51,NA-US-MS-BAY SAINT LOUIS,false,685,1069,17610486
39522,UNIQUE,STENNIS SPACE CENTER,MS,PRIMARY,30.34,-89.55,NA-US-MS-STENNIS SPACE CENTER,false,,,
39525,STANDARD,DIAMONDHEAD,MS,PRIMARY,30.38,-89.36,NA-US-MS-DIAMONDHEAD,false,3869,6950,148480879
39529,UNIQUE,STENNIS SPACE CENTER,MS,PRIMARY,30.34,-89.55,NA-US-MS-STENNIS SPACE CENTER,false,,,
39558,PO BOX,LAKESHORE,MS,PRIMARY,30.21,-89.48,NA-US-MS-LAKESHORE,false,,,
39572,STANDARD,PEARLINGTON,MS,PRIMARY,30.24,-89.6,NA-US-MS-PEARLINGTON,false,502,914,13973785
39576,STANDARD,WAVELAND,MS,PRIMARY,30.28,-89.38,NA-US-MS-WAVELAND,false,2138,3797,63603036
39422,STANDARD,BAY SPRINGS,MS,PRIMARY,31.98,-89.28,NA-US-MS-BAY SPRINGS,false,2431,4491,73585777
39423,STANDARD,BEAUMONT,MS,PRIMARY,31.17,-88.92,NA-US-MS-BEAUMONT,false,1016,1960,29328417
38825,PO BOX,BECKER,MS,PRIMARY,33.91,-88.49,NA-US-MS-BECKER,false,,,
